champ_a,role_a,champ_b,role_b,winrate,matches
Aatrox,Top,XinZhao,Jungle,0.5069,7
Aatrox,Top,Fiddlesticks,Jungle,0.4289,7
Aatrox,Top,MasterYi,Jungle,0.5686,18
Aatrox,Top,Nunu,Jungle,0.5347,8
Aatrox,Top,Evelynn,Jungle,0.4367,7
Aatrox,Top,Chogath,Jungle,0.4588,15
Aatrox,Top,Shaco,Jungle,0.5079,6
Aatrox,Top,Nocturne,Jungle,0.5648,16
Aatrox,Top,JarvanIV,Jungle,0.429,25
Aatrox,Top,Elise,Jungle,0.4299,8
Aatrox,Top,MonkeyKing,Jungle,0.5658,17
Aatrox,Top,LeeSin,Jungle,0.4768,41
Aatrox,Top,Nidalee,Jungle,0.5352,11
Aatrox,Top,Udyr,Jungle,0.4626,7
Aatrox,Top,Talon,Jungle,0.5492,24
Aatrox,Top,Shyvana,Jungle,0.4723,15
Aatrox,Top,Graves,Jungle,0.4513,30
Aatrox,Top,Rengar,Jungle,0.509,12
Aatrox,Top,Hecarim,Jungle,0.5206,16
Aatrox,Top,Khazix,Jungle,0.5239,18
Aatrox,Top,Jayce,Jungle,0.439,11
Aatrox,Top,Diana,Jungle,0.5149,7
Aatrox,Top,Kayn,Jungle,0.53,16
Aatrox,Top,Zac,Jungle,0.4423,10
Aatrox,Top,Belveth,Jungle,0.4288,7
Aatrox,Top,Kindred,Jungle,0.4491,7
Aatrox,Top,Briar,Jungle,0.441,10
Aatrox,Top,Viego,Jungle,0.4977,24
Aatrox,Top,Zed,Jungle,0.4288,7
Aatrox,Top,Ekko,Jungle,0.4956,9
Aatrox,Top,Qiyana,Jungle,0.5038,24
Aatrox,Top,Vi,Jungle,0.5325,18
Aatrox,Top,Sylas,Jungle,0.526,21
Aatrox,Top,Lillia,Jungle,0.5123,8
Aatrox,Top,Naafiri,Jungle,0.5337,11
Aatrox,Top,Galio,Mid,0.5206,11
Aatrox,Top,TwistedFate,Mid,0.4931,28
Aatrox,Top,Leblanc,Mid,0.4517,16
Aatrox,Top,Vladimir,Mid,0.5124,12
Aatrox,Top,Ryze,Mid,0.4739,7
Aatrox,Top,Anivia,Mid,0.5079,7
Aatrox,Top,Kassadin,Mid,0.5196,15
Aatrox,Top,Irelia,Mid,0.4611,5
