champ_1,role_1,champ_2,role_2,winrate,matches
Aatrox,Top,MasterYi,Jungle,0.4924,20
Aatrox,Top,Nunu,Jungle,0.4959,7
Aatrox,Top,Evelynn,Jungle,0.5641,7
Aatrox,Top,Karthus,Jungle,0.5098,5
Aatrox,Top,Chogath,Jungle,0.5712,19
Aatrox,Top,Shaco,Jungle,0.4879,11
Aatrox,Top,Nocturne,Jungle,0.511,12
Aatrox,Top,JarvanIV,Jungle,0.4541,24
Aatrox,Top,Elise,Jungle,0.4318,6
Aatrox,Top,MonkeyKing,Jungle,0.5346,16
Aatrox,Top,LeeSin,Jungle,0.491,58
Aatrox,Top,Nidalee,Jungle,0.5629,8
Aatrox,Top,Talon,Jungle,0.5712,18
Aatrox,Top,Shyvana,Jungle,0.5307,7
Aatrox,Top,Graves,Jungle,0.4931,27
Aatrox,Top,Rengar,Jungle,0.4599,13
Aatrox,Top,Hecarim,Jungle,0.536,11
Aatrox,Top,Khazix,Jungle,0.4896,16
Aatrox,Top,Jayce,Jungle,0.4332,9
Aatrox,Top,Diana,Jungle,0.5284,9
Aatrox,Top,Kayn,Jungle,0.5271,16
Aatrox,Top,Zac,Jungle,0.5397,8
Aatrox,Top,Belveth,Jungle,0.5127,8
Aatrox,Top,Kindred,Jungle,0.5021,6
Aatrox,Top,Briar,Jungle,0.4712,8
Aatrox,Top,Viego,Jungle,0.4393,27
Aatrox,Top,Zed,Jungle,0.4289,10
Aatrox,Top,Ekko,Jungle,0.5236,13
Aatrox,Top,Qiyana,Jungle,0.561,21
Aatrox,Top,Vi,Jungle,0.5631,21
Aatrox,Top,RekSai,Jungle,0.5418,5
Aatrox,Top,Sylas,Jungle,0.5517,26
Aatrox,Top,Lillia,Jungle,0.5284,9
Aatrox,Top,Naafiri,Jungle,0.4676,13
Aatrox,Top,Annie,Mid,0.4545,7
Aatrox,Top,Galio,Mid,0.4613,18
Aatrox,Top,TwistedFate,Mid,0.5687,20
Aatrox,Top,Leblanc,Mid,0.5301,12
Aatrox,Top,Vladimir,Mid,0.5031,16
Aatrox,Top,Ryze,Mid,0.5116,14
Aatrox,Top,Anivia,Mid,0.509,6
Aatrox,Top,Kassadin,Mid,0.537,12
Aatrox,Top,Veigar,Mid,0.5663,6
Aatrox,Top,Katarina,Mid,0.5271,23
Aatrox,Top,Orianna,Mid,0.4641,18
Aatrox,Top,Cassiopeia,Mid,0.5658,8
Aatrox,Top,Nasus,Mid,0.5489,9
Aatrox,Top,Akali,Mid,0.5056,20
Aatrox,Top,Malzahar,Mid,0.5362,13
Aatrox,Top,Lux,Mid,0.5366,7
Aatrox,Top,Xerath,Mid,0.5237,13
Aatrox,Top,Ahri,Mid,0.5466,25
Aatrox,Top,Fizz,Mid,0.5422,12
Aatrox,Top,Viktor,Mid,0.5287,34
Aatrox,Top,Lissandra,Mid,0.4734,19
Aatrox,Top,Diana,Mid,0.5059,7
Aatrox,Top,Syndra,Mid,0.5639,29
Aatrox,Top,AurelionSol,Mid,0.5698,6
Aatrox,Top,Zoe,Mid,0.5503,13
Aatrox,Top,Yasuo,Mid,0.5167,14
Aatrox,Top,Zed,Mid,0.4845,17
Aatrox,Top,Ekko,Mid,0.5261,10
Aatrox,Top,Qiyana,Mid,0.4362,9
Aatrox,Top,Azir,Mid,0.5015,6
Aatrox,Top,Sylas,Mid,0.429,21
Aatrox,Top,Vex,Mid,0.5624,8
Aatrox,Top,Yone,Mid,0.462,16
Aatrox,Top,Locke,Mid,0.5213,21
Aatrox,Top,Aurora,Mid,0.4915,6
Aatrox,Top,Hwei,Mid,0.4891,11
Aatrox,Top,Sivir,ADC,0.4767,12
Aatrox,Top,Tristana,ADC,0.4822,27
Aatrox,Top,MissFortune,ADC,0.4424,11
Aatrox,Top,Ashe,ADC,0.5114,15
Aatrox,Top,Twitch,ADC,0.449,9
Aatrox,Top,Caitlyn,ADC,0.5158,50
Aatrox,Top,Vayne,ADC,0.4402,7
Aatrox,Top,Ezreal,ADC,0.458,44
Aatrox,Top,KogMaw,ADC,0.5075,8
Aatrox,Top,Varus,ADC,0.4821,9
Aatrox,Top,Viktor,ADC,0.5674,8
Aatrox,Top,Draven,ADC,0.5211,14
Aatrox,Top,Syndra,ADC,0.5677,6
Aatrox,Top,Kaisa,ADC,0.5133,70
Aatrox,Top,Jhin,ADC,0.544,66
Aatrox,Top,Zeri,ADC,0.5475,11
Aatrox,Top,Jinx,ADC,0.5473,46
Aatrox,Top,Lucian,ADC,0.4987,31
Aatrox,Top,Samira,ADC,0.4676,11
Aatrox,Top,Kalista,ADC,0.537,8
Aatrox,Top,Xayah,ADC,0.5708,11
Aatrox,Top,Aphelios,ADC,0.4558,13
Aatrox,Top,Mel,ADC,0.4941,6
Aatrox,Top,Yunara,ADC,0.4795,29
Aatrox,Top,Smolder,ADC,0.4954,6
Aatrox,Top,Alistar,Support,0.5346,16
Aatrox,Top,Soraka,Support,0.5684,12
Aatrox,Top,Morgana,Support,0.5651,12
Aatrox,Top,Zilean,Support,0.4331,11
Aatrox,Top,Sona,Support,0.4414,6
Aatrox,Top,Janna,Support,0.5332,11
Aatrox,Top,Karma,Support,0.5367,17
Aatrox,Top,Swain,Support,0.5004,8
Aatrox,Top,Blitzcrank,Support,0.5264,23
Aatrox,Top,Brand,Support,0.5612,6
Aatrox,Top,Pantheon,Support,0.4418,12
Aatrox,Top,Leona,Support,0.5207,22
Aatrox,Top,Lux,Support,0.5176,20
Aatrox,Top,Xerath,Support,0.4498,10
Aatrox,Top,Nautilus,Support,0.468,29
Aatrox,Top,Lulu,Support,0.5276,35
Aatrox,Top,Zyra,Support,0.5554,7
Aatrox,Top,Seraphine,Support,0.5036,30
Aatrox,Top,Velkoz,Support,0.5707,7
Aatrox,Top,Braum,Support,0.4688,14
Aatrox,Top,TahmKench,Support,0.4856,6
Aatrox,Top,Senna,Support,0.5682,18
Aatrox,Top,Nami,Support,0.5016,23
Aatrox,Top,Yuumi,Support,0.4629,10
Aatrox,Top,Thresh,Support,0.5484,53
Aatrox,Top,Bard,Support,0.4949,18
Aatrox,Top,Rakan,Support,0.5069,15
Aatrox,Top,Neeko,Support,0.5292,6
Aatrox,Top,Rell,Support,0.5538,11
Aatrox,Top,Pyke,Support,0.4894,24
Aatrox,Top,Milio,Support,0.4763,16
Aatrox,Jungle,Ahri,Mid,0.5406,5
Aatrox,Jungle,Tristana,ADC,0.522,8
Aatrox,Jungle,Caitlyn,ADC,0.5235,7
Aatrox,Jungle,Jhin,ADC,0.5403,9
Aatrox,Jungle,Jinx,ADC,0.5381,6
Aatrox,Jungle,Nautilus,Support,0.5191,6
Aatrox,Jungle,Thresh,Support,0.5689,5
Aatrox,Mid,Olaf,Top,0.466,12
Aatrox,Mid,Urgot,Top,0.5575,6
Aatrox,Mid,Sion,Top,0.5115,9
Aatrox,Mid,Tryndamere,Top,0.5637,7
Aatrox,Mid,Jax,Top,0.4929,12
Aatrox,Mid,Singed,Top,0.5711,6
Aatrox,Mid,Chogath,Top,0.5443,7
Aatrox,Mid,DrMundo,Top,0.5145,6
Aatrox,Mid,Irelia,Top,0.4905,10
Aatrox,Mid,Gangplank,Top,0.4798,10
Aatrox,Mid,Malphite,Top,0.4576,16
Aatrox,Mid,Renekton,Top,0.4824,12
Aatrox,Mid,Vayne,Top,0.4338,5
Aatrox,Mid,Nasus,Top,0.5062,17
Aatrox,Mid,Mordekaiser,Top,0.4289,5
Aatrox,Mid,Garen,Top,0.4876,18
Aatrox,Mid,Volibear,Top,0.5659,5
Aatrox,Mid,Fiora,Top,0.5508,8
Aatrox,Mid,Darius,Top,0.4886,10
Aatrox,Mid,Jayce,Top,0.4891,15
Aatrox,Mid,Gnar,Top,0.4558,7
Aatrox,Mid,Yasuo,Top,0.4932,10
Aatrox,Mid,Camille,Top,0.5409,10
Aatrox,Mid,Aatrox,Top,0.4891,11
Aatrox,Mid,Ornn,Top,0.4744,6
Aatrox,Mid,Yone,Top,0.5251,18
Aatrox,Mid,Ambessa,Top,0.4997,11
Aatrox,Mid,Sett,Top,0.5365,8
